排污口名称,口门形态,排水特征,有无异常状况,是否在线监测,是否具备采样条件
宜昌市长阳土家族自治县都镇湾镇石城东北230米雨洪排口,明渠,排水,,,
宜昌市长阳土家族自治县高家堰镇周府口城镇雨洪排口,明渠,排水,无,,
宜昌市当阳市淯溪镇白石港村桐梓园村东南150米沟渠排口,其他,排水,无,,
宜昌市点军区土城乡三涧溪小河村1#其他排口,明渠,无水,无,,
宜昌市宜都市陆城街道东阳光药业2号地生产废水排污口,涵闸,排水,无,,是
宜昌市长阳土家族自治县高家堰镇青岩村董家口雨洪排口,箱涵,排水,无,,
宜昌市点军区土城乡土家阁饭店东南180米城镇雨洪排口,其他,无水,无,,否
湖北民泰矿业有限公司后湾磷矿矿山排污口,管道,排水,无,,否
宜昌市长阳土家族自治县高家堰镇高家堰村加油站后1#城镇雨洪排口,箱涵,排水,无,,
宜昌市当阳市淯溪镇龙井村井家河西南546米沟渠排口,其他,排水,无,,
宜昌市当阳市淯溪镇胜利村胜利村西北侧670米种植业排口,明渠,排水,无,,
宜昌市当阳市玉泉街道三桥村寨下西北138米种植业排口,管道,无水,无,,
宜昌市长阳土家族自治县鸭子口乡刘坪村小泉坪南侧426米雨洪排口,明渠,排水,,,
宜昌市长阳土家族自治县鸭子口乡航运管理所东10米处城镇雨洪排口,其他,无水,无,,否
宜昌市当阳市半月镇泰山村半边街东侧300m种植业排口,管道,无水,无,,
宜昌市当阳市半月镇泰山村半边街东北侧280m规模以下水产养殖排污口,管道,无水,无,,
宜昌市当阳市王店镇严河村沪蓉高速桥下附近规模以下水产养殖排污口,其他,排水,无,,
宜昌市当阳市玉阳街道和平村卷桥村东南100米种植业排口,,,,,
宜昌市点军区奤子岗东北处100米城镇雨洪排囗,管道,无水,无,,否
宜昌市点军区联棚乡云松庭院2#沟渠入河排口,箱涵,排水,无,,
宜昌市当阳市玉阳街道东群村艾家巷住宅区东南270米沟渠排口,,,,,
宜昌市点军区联棚乡云松庭院3#沟渠入河排口,管道,无水,无,,
宜昌市点军区联棚乡半头湾拦水坝下游城镇雨洪排口,明渠,无水,无,,
宜昌市宜都市五眼泉镇刘家湾西北990米处城镇雨洪排口,管道,排水,无,,
宜昌市当阳市半月镇胡家湾村陈家院子东83米种植业排口,管道,无水,无,,
宜昌市当阳市两河镇胡场村罗家坡西南230米种植业排口,,,,,
宜昌市远安县河口乡河口村河茅公路沿线支流其他排口,明渠,排水,无,,是
宜昌市当阳市两河镇胡场村罗家坡西南340米种植业排口,,,,,
宜昌市高新区李家湾一路雨洪沟渠,明渠,无水,,,
宜昌市当阳市玉阳街道金沙中桥东侧110米涵闸排口,涵闸,排水,无,,是
宜昌市当阳市玉阳街道白龙村胡家西湾西侧600m种植业排口,,,,,
宜昌市当阳市清水桥东路朱湾闸排口,涵闸,排水,无,,是
宜昌市秭归县郭家坝镇王家岭村文化广场东20米雨洪排口,明渠,排水,无,,否
宜昌市当阳市王店镇满山红村光明大队西北侧200m种植业排污口,,,,,
宜昌市宜都市五眼泉镇关山垴东北230米处沟渠,其他,排水,无,,是
宜昌市枝江市百里洲镇六支渠入河排污口,其他,排水,,,
宜昌市点军区环高乐器西侧300米处内口河城镇雨洪排口,管道,排水,无,,否
宜昌市点军区联棚乡中嘴坡3#沟渠入河排口,明渠,排水,无,,
宜昌市点军区联棚乡云松庭院东1#沟渠入河排口,管道,排水,无,,
宜昌市点军区联棚乡罗家坝西南410米沟渠入河排口,管道,有死水,无,,
宜昌市当阳市玉泉街道三桥村寨下西南283米种植业排口,管道,排水,无,,
宜昌市点军区联棚乡芦树湾东北1#沟渠入河排口,管道,有死水,无,,
宜昌市枝江市仙女镇彭余冲2号沟渠排口（2025年新增）,其他,排水,,,
宜昌市当阳市王店镇满山红村新华村东北侧500m种植业排污口,,,,,
宜昌市点军区谭家河社区红缆厂东侧中间工业厂区雨水排口,管道,无水,无,,是
宜昌市猇亭区中国石化加油站西北面200米处点源城镇雨洪排囗,明渠,无水,无,,否
宜昌市秭归县白水溪村南侧10米雨水排口,管道,无水,无,,否
宜昌市宜都市五眼泉镇刘家湾西北995米处城镇雨洪排口,管道,无水,无,,
宜昌市宜都市高坝洲镇青林寺村4-054号西北侧30米城镇雨洪排口,管道,无水,无,,否
宜昌市长阳土家族自治县龙舟坪镇何家坪社区18#城镇雨洪排口,其他,无水,无,,否
