排污口名称,采样时间,ph,cod,bod,氨氮,总磷,总氮,流量,水温,监测类型
宜昌市长阳土家族自治县高家堰镇高家堰村白果坪3#城镇雨洪排口,,,,,,,,,,实验室监测
宜昌市当阳市王店镇满山红村光明大队东北侧900m种植业排口,,,,,,,,,,实验室监测
宜昌市夷陵区邓村乡黄金河小桥入河排口,,,,,,,,,,实验室监测
宜昌市点军区土城乡土家阁饭店东南80米沟渠入河排口,,,,,,,,,,实验室监测
"宜昌市夷陵区邓村古城一级电站尾水排口
",,,,,,,,,,实验室监测
宜昌市长阳土家族自治县高家堰镇高家堰村白果坪2#城镇雨洪排口,,,,,,,,,,实验室监测
王家庙福安桥西面9#沟渠入河排口,,,,,,,,,,实验室监测
宜昌市当阳市两河镇双龙村郑家塆东南655米乡镇雨洪排口,,,,,,,,,,实验室监测
宜昌市当阳市淯溪镇龙井村井家河西南546米沟渠排口,,,,,,,,,,实验室监测
宜昌市秭归县梅家河乡污水处理厂排口,,,,,,,,,,实验室监测
宜昌市猇亭区虎牙张家湾泄洪沟城镇雨洪排口,,,,,,,,,,实验室监测
宜昌市西陵区木以兮工艺品西25米城镇雨洪排口,,,,,,,,,,实验室监测
宜昌市点军区土城乡土家阁饭店东南180米城镇雨洪排口,,,,,,,,,,实验室监测
宜昌市当阳市淯溪镇白石港村桐梓园村东南150米沟渠排口,,,,,,,,,,实验室监测
湖北民泰矿业有限公司后湾磷矿矿山排污口,,,,,,,,,,实验室监测
宜昌市长阳土家族自治县都镇湾镇石城东北230米雨洪排口,,,,,,,,,,实验室监测
宜昌市点军区土城乡三涧溪小河村1#其他排口,,,,,,,,,,实验室监测
宜昌市长阳土家族自治县高家堰镇高家堰村加油站后1#城镇雨洪排口,,,,,,,,,,实验室监测
宜昌市点军区联棚乡云松庭院2#沟渠入河排口,,,,,,,,,,实验室监测
宜昌市当阳市玉阳街道东群村艾家巷住宅区东南270米沟渠排口,,,,,,,,,,实验室监测
宜昌市当阳市淯溪镇胜利村胜利村西北侧670米种植业排口,,,,,,,,,,实验室监测
宜昌市长阳土家族自治县高家堰镇周府口城镇雨洪排口,,,,,,,,,,实验室监测
宜昌市长阳土家族自治县高家堰镇青岩村董家口雨洪排口,,,,,,,,,,实验室监测
宜昌市枝江市仙女镇彭余冲桥1号沟渠排口,,,,,,,,,,实验室监测
宜昌市当阳市两河镇胡场村罗家坡西南230米种植业排口,,,,,,,,,,实验室监测
宜昌市长阳土家族自治县鸭子口乡刘坪村小泉坪南侧426米雨洪排口,,,,,,,,,,实验室监测
宜昌市当阳市两河镇胡场村罗家坡西南340米种植业排口,,,,,,,,,,实验室监测
宜昌市高新区李家湾一路雨洪沟渠,,,,,,,,,,实验室监测
宜昌市当阳市半月镇泰山村半边街东侧300m种植业排口,,,,,,,,,,实验室监测
宜昌市当阳市玉阳街道白龙村胡家西湾西侧600m种植业排口,,,,,,,,,,实验室监测
宜昌市当阳市半月镇泰山村半边街东北侧280m规模以下水产养殖排污口,,,,,,,,,,实验室监测
宜昌市秭归县郭家坝镇王家岭村文化广场东20米雨洪排口,,,,,,,,,,实验室监测
宜昌市当阳市王店镇满山红村光明大队西北侧200m种植业排污口,,,,,,,,,,实验室监测
宜昌市当阳市王店镇严河村沪蓉高速桥下附近规模以下水产养殖排污口,,,,,,,,,,实验室监测
宜昌市枝江市百里洲镇六支渠入河排污口,,,,,,,,,,实验室监测
宜昌市当阳市玉阳街道和平村卷桥村东南100米种植业排口,,,,,,,,,,实验室监测
宜昌市点军区联棚乡中嘴坡3#沟渠入河排口,,,,,,,,,,实验室监测
宜昌市点军区联棚乡云松庭院东1#沟渠入河排口,,,,,,,,,,实验室监测
宜昌市点军区联棚乡罗家坝西南410米沟渠入河排口,,,,,,,,,,实验室监测
宜昌市当阳市玉泉街道三桥村寨下西南283米种植业排口,,,,,,,,,,实验室监测
宜昌市点军区联棚乡芦树湾东北1#沟渠入河排口,,,,,,,,,,实验室监测
宜昌市枝江市仙女镇彭余冲2号沟渠排口（2025年新增）,,,,,,,,,,实验室监测
宜昌市当阳市王店镇满山红村新华村东北侧500m种植业排污口,,,,,,,,,,实验室监测
宜昌市点军区联棚乡云松庭院3#沟渠入河排口,,,,,,,,,,实验室监测
宜昌市点军区联棚乡半头湾拦水坝下游城镇雨洪排口,,,,,,,,,,实验室监测
宜昌市秭归县白水溪村南侧10米雨水排口,,,,,,,,,,实验室监测
宜昌市宜都市五眼泉镇刘家湾西北995米处城镇雨洪排口,,,,,,,,,,实验室监测
宜昌市当阳市玉泉街道三桥村寨下西北138米种植业排口,,,,,,,,,,实验室监测
宜昌市当阳市半月镇胡家湾村陈家院子东83米种植业排口,,,,,,,,,,实验室监测
宜昌市长阳土家族自治县龙舟坪镇偏岩公路养护站城镇雨洪排口,,,,,,,,,,实验室监测
