区域,排污口数量
龙泉镇,206
龙舟坪镇,197
红花套镇,180
陆城街道,165
茅坪镇,141
鸦鹊岭镇,129
枝城镇,127
云池街道,103
点军街道,102
归州镇,101
联棚乡,99
安福寺镇,99
马家店街道,95
峡口镇,81
樟村坪镇,79
小溪塔街道,78
王店镇,77
玉阳街道,76
古夫镇,74
高坝洲镇,73
郭家坝镇,73
淯溪镇,62
白洋镇,62
小溪塔街道办事处,62
半月镇,61
董市镇,61
太平溪镇,61
东城城乡统筹发展试验区,60
渔洋关镇,60
河溶镇,58
玉泉街道,58
姚家店镇,55
榔坪镇,54
鸣凤镇,54
坝陵街道,52
聂家河镇,51
五峰镇,51
贺家坪镇,51
窑湾街道,50
土城乡,49
黄花镇,48
七星台镇,47
资丘镇,47
古老背街道,46
泄滩乡,45
昭君镇,44
伍家乡,44
西坝街道,43
屈原镇,42
百里洲镇,42
湾潭镇,42
邓村乡,41
雾渡河镇,40
顾家店镇,36
水月寺镇,36
牛庄乡,34
旧县镇,33
鸭子口乡,33
水田坝乡,31
夜明珠街道,31
五眼泉镇,31
艾家镇,30
嫘祖镇,28
分乡镇,28
渔峡口镇,27
桥边镇,27
沙镇溪镇,26
问安镇,25
洋坪镇,25
庙前镇,25
两河口镇,24
黄粮镇,24
南阳镇,24
南苑街道,24
虎牙街道,24
夷陵经济开发区东城试验区,24
九畹溪镇,22
乐天溪镇,20
高桥乡,20
三斗坪镇,18
高家堰镇,17
伍家岗街道,17
万寿桥街道,17
磨市镇,16
草埠湖镇,15
两河镇,15
都镇湾镇,14
磨市镇峰山村,14
点军街办,13
茅坪场镇,12
仙女镇,12
松木坪镇,12
宝塔河街道办事处,11
北苑街道,11
榛子乡,10
下堡坪乡,10
玉阳街道	,9
长乐坪镇,8
西陵街道,7
秭归经济开发区管委会,7
大公桥街道,7
河口乡,7
王家畈镇,6
花林寺镇,6
大堰乡,5
潘家湾土家族乡,5
两河镇	,5
磨市镇三口堰村,4
马家店,4
宝塔河街道,4
学院街道,4
生物产业园区,4
杨林桥镇,4
葛洲坝街道,4
云集街道,3
磨市镇乌钵池村,3
百里洲,3
东苑街道,3
范家湖村,3
火烧坪乡,3
秭归县经济开发区,2
梅家河乡,2
古老北街道,2
湾潭河,2
兴山县高桥乡,2
云池街办,2
兴山县古夫镇,2
半月镇	,2
磨坪乡,2
马家店镇,2
毛家岗街道,1
陆城街道办,1
中堡村,1
水月寺镇居委会,1
,1
乌钵池村二组,1
马家店街道办事处,1
生物产业园,1
 虎牙街道,1
观音街,1
五联路,1
云池衔道,1
高新产业园生物园区,1
范家湖,1
傅家堰乡,1
龙舟坪镇 ,1
仁和坪镇,1
龙泉街道,1
采花乡,1
